Item,UPC,Description,Price,Category
1,4011,BANANAS,1.25,Produce
2,4087,TOMATOES,0.99,Produce
3,,CORN 1 LB @ 1.29,1.29,Produce
4,,MUSHROOMS 64 LB @ 3.79,3.79,Produce
5,8652660657,4 TOMATOES,1.99,Produce
6,5080600789,PEPPER ORANGE,3.19,Produce
7,,,LETTUCE,4.99,Produce
8,4135251369,MILK VITAMIN D,4.89,Dairy
9,4135211269,MILK,2.83,Dairy
10,4135211261,MILK,2.89,Dairy
11,4135511264,MILK,4.19,Dairy
12,85286704113,POTATOES,3.59,Produce
13,7126963564,CARROTS,3.99,Produce
14,74175011339,FROZEN SEASONING,4.19,Frozen
15,38000293175,REAL EAR,6.29,Personal Care
16,71206523249,STEVIA,7.19,Grocery
17,71206523291,STEVIA,7.19,Grocery
18,78126361629,COFFEE,14.99,Grocery
19,20119400282,CAB QUICK ROAS,27.31,Grocery
20,,COUPON,-2.50,Discount
21,20119400282,CAB QUICK ROAS,28.88,Grocery
22,717369046119,TQ MUSHROOMS,,Grocery
23,,,,
24,,ONIONS,5.00,Produce
25,,ONIONS,1.00,Produce
26,,ONIONS,1.00,Produce
27,717369046177,CASH PRIV FRZ,,Frozen
28,,4 SB,3.79,Unknown
29,726977598,SARA LEE BREAD,3.89,Bakery
30,716140314639,CAGE FREE EGGS,7.49,Dairy
31,,,,

Summary:
Total Items: 29
MI Sales Tax: 2.39
Total Tax: 2.39
Total: 171.89

Payment Method: Primary Account - Debit
Card: ATM/DEBIT CARD (ending in XXXX)
Transaction ID: AID A0000000098840
PIN Verified Online
Cash Back: $50.00
Store: Meijer #322
Date: 19:52:10